Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",59.250000,-64.147500,180.000000,top
"C2","0.1uF","C_0402_1005Metric",63.110000,-67.010000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",59.750000,-80.160000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",55.740000,-71.010000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",57.100000,-92.700000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",56.470000,-85.130000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",66.510000,-76.760000,-45.000000,top
"C8","0.1uF","C_0402_1005Metric",55.425000,-63.275000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",57.100000,-94.880000,-90.000000,top
"C10","1uF","C_0402_1005Metric",64.120000,-80.780000,-45.000000,top
"C11","0.1uF","C_0402_1005Metric",67.160000,-74.080000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",60.340000,-66.700000,90.000000,top
"C13","10uF","C_0603_1608Metric",62.850000,-60.140000,-90.000000,top
"C14","10uF","C_0603_1608Metric",64.400000,-64.780000,0.000000,top
"C15","33pF","C_0402_1005Metric",62.000000,-82.505000,90.000000,top
"C16","33pF","C_0402_1005Metric",56.400000,-82.520000,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",58.175000,-66.125000,0.000000,top
"C18","10nF","C_0402_1005Metric",65.700000,-85.100000,180.000000,top
"C19","100nF","C_0402_1005Metric",54.700000,-96.600000,180.000000,top
"C20","2.2uF","C_0402_1005Metric",65.000000,-92.300000,0.000000,top
"C21","100nF","C_0402_1005Metric",63.700000,-85.100000,0.000000,top
"C22","100nF","C_0402_1005Metric",59.200000,-88.025000,-90.000000,top
"C23","0.1uF","C_0402_1005Metric",64.890000,-82.370000,0.000000,top
"C24","100nF","C_0402_1005Metric",59.720000,-91.700000,180.000000,top
"C25","10nF","C_0402_1005Metric",64.100000,-94.100000,90.000000,top
"D3","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",60.600000,-94.300000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",60.500000,-51.550000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",51.610000,-50.370000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",69.390000,-50.370000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",57.960000,-98.390000,90.000000,top
"PWR","POWER","LED_0603_1608Metric",66.730000,-54.015000,90.000000,top
"R1","5.1K","R_0402_1005Metric",62.810000,-57.570000,0.000000,top
"R2","5.1K","R_0402_1005Metric",58.430000,-57.740000,180.000000,top
"R3","27","R_0402_1005Metric",61.180000,-69.740000,-90.000000,top
"R4","27","R_0402_1005Metric",62.220000,-69.740000,-90.000000,top
"R5","1K","R_0402_1005Metric",55.960000,-80.670000,0.000000,top
"R6","1K","R_0402_1005Metric",65.510000,-63.250000,180.000000,top
"R7","1K","R_0402_1005Metric",54.100000,-66.270000,-90.000000,top
"R8","4.7K","R_0402_1005Metric",57.480000,-89.750000,0.000000,top
"R9","4.7K","R_0402_1005Metric",61.690000,-85.100000,0.000000,top
"R10","10K","R_0402_1005Metric",63.350000,-82.770000,90.000000,top
"R11","680","R_0402_1005Metric",63.040000,-63.250000,180.000000,top
"R12","680","R_0402_1005Metric",55.420000,-64.620000,0.000000,top
"RST","RUN","LED_0603_1608Metric",54.285000,-54.015000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",65.600000,-59.800000,90.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",55.400000,-59.800000,90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",60.500000,-74.977500,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",59.170000,-61.460000,90.000000,top
"U4","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",57.400000,-88.025000,0.000000,top
"U5","W25Q16JVZPIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",56.875000,-68.100000,0.000000,top
"U6","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",63.450000,-88.450000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",59.200000,-82.450000,0.000000,top
